transaction_id,customer_id,transaction_date,transaction_type,amount,account_number,branch_name,employee_id,customer_name,email,phone,account_status,risk_level,product_type,channel,country,state,balance,credit_score,last_login
TXN00000368,CUST00328,,Transfer,,ACC0000000104,SAN DIEGO,,JENNIFER GARCIA,,,Suspended,low,SAVINGS,mobile,  Mexico  ,NY,,,
TXN00000620,CUST00058,2025-11-23,TRANSFER,872.68,ACC0000000227,CHICAGO,EMP0011,james GARCIA,customer1@hotmail.com,8567849351,inactive,high,Checking,  ONLINE  ,CANADA,TX,78059.53,608.0,2024-05-13
TXN00000029,CUST00013,2026-01-06,Withdrawal,10007.89,ACC0000000116,,EMP0018,  LINDA   rodriguez,customer2@bank.com,4301238856,SUSPENDED,low,SAVINGS,  Branch  ,CANADA,ny,34920.52,439.0,2026-01-04
TXN00000260,CUST00380,2024-08-31,Payment,9887.88,ACC0000000189,Phoenix,EMP0083,james rodriguez,customer3@outlook.com,4808102549,active,Low,  Checking  ,mobile,mexico,TX,38078.4,605.0,2025-03-25
TXN00000562,CUST00141,2025-03-30,PAYMENT,2675.91,ACC0000000280,Phoenix,EMP0054,Robert   johnson  ,customer4@yahoo.com,8072857290,,,investment,BRANCH,United States,,25869.37,843.0,2025-05-24
TXN00000094,CUST00126,2025-09-17,TRANSFER,239.34,ACC0000000101,SAN DIEGO,EMP0059,  John     MILLER  ,customer5@gmail.com,6957608105,  Active  ,high,Checking,  ONLINE  ,CANADA,tx,93488.86,556.0,2025-01-02
TXN00000112,CUST00115,2024-10-18,deposit,2101.32,ACC0000000100,  PHILADELPHIA  ,EMP0090,  LINDA   Williams,customer6@bank.com,5056853051,INACTIVE,low,credit card,MOBILE,  USA  ,ca,39924.16,483.0,2026-05-20
TXN00000599,CUST00072,2026-02-09,TRANSFER,219.69,ACC0000000151,,EMP0078,  LINDA   GARCIA,customer7@bank.com,3014332040,ACTIVE,low,SAVINGS,MOBILE,  Mexico  ,FL,59765.9,348.0,2024-05-10
TXN00000259,CUST00378,2026-02-05,transfer,7471.37,ACC0000000230,  NEW YORK  ,EMP0055,james SMITH,customer8@yahoo.com,9309829806,Inactive,Low,investment,MOBILE,USA,ca,20414.62,600.0,2025-12-13
TXN00001006,CUST00053,2026-03-13,transfer,5233.24,ACC0000000091,SAN DIEGO,EMP0080,William rodriguez,customer9@bank.com,3895151323,INACTIVE,,SAVINGS,  ONLINE  ,United States,  CA  ,35948.97,685.0,2026-06-15
TXN00000211,CUST00347,2025/04/04,Transfer,7782.48,ACC0000000039,San Antonio,EMP0024,JENNIFER   jones  ,customer10@hotmail.com,6036699788,SUSPENDED,High,MORTGAGE,,  USA  ,CA,81707.43,684.0,2024-04-15
TXN00000026,CUST00380,2024-08-27,TRANSFER,12346.48,ACC0000000096,CHICAGO,EMP0059,  LINDA     jones  ,customer11@yahoo.com,7426002047,inactive,Low,credit card,MOBILE,usa,NY,30122.22,580.0,2024-09-06
TXN00000583,CUST00280,2025-06-30,deposit,3925.74,ACC0000000089,  NEW YORK  ,EMP0066,elizabeth Williams,customer12@hotmail.com,7319579830,Active,,MORTGAGE,  ONLINE  ,MEXICO,,64191.82,745.0,2025-01-16
TXN00000962,CUST00045,2024-09-01,Payment,5609.45,ACC0000000264,dallas,EMP0055,elizabeth Davis,customer13@yahoo.com,9309383033,  Active  ,high,  Checking  ,atm,mexico,ca,63760.95,741.0,2026-01-05
TXN00000981,CUST00303,2024-11-12,Transfer,11259.16,ACC0000000062,  PHILADELPHIA  ,EMP0071,JENNIFER   johnson  ,customer14@gmail.com,9718714399,,low,credit card,,USA,,14176.69,809.0,2024-07-17
TXN00000903,CUST00217,08-04-2026,DEPOSIT,13108.23,ACC0000000194,dallas,,  LINDA   SMITH,customer15@hotmail.com,8742203960,,low,Checking,  Branch  ,mexico,tx,53737.61,720.0,2024-02-12
TXN00000698,CUST00017,2026-03-14,PAYMENT,11007.39,ACC0000000021,houston,EMP0058,james rodriguez,customer16@yahoo.com,8138113948,  Active  ,  HIGH  ,,ATM,CANADA,TX,58029.27,351.0,2026-03-06
TXN00000378,CUST00016,2025-04-25,TRANSFER,1814.95,ACC0000000220,  PHILADELPHIA  ,EMP0050,MARIA   jones  ,customer17@bank.com,2056688327,,Medium,credit card,  Branch  ,  Mexico  ,FL,27655.99,634.0,2026-02-16
TXN00000106,CUST00048,2026-05-05,withdrawal,13503.47,ACC0000000143,Los Angeles,EMP0046,  John     MILLER  ,customer18@bank.com,5212251641,Suspended,MEDIUM,,,  Mexico  ,  CA  ,39747.15,746.0,2024-05-13
TXN00000518,CUST00112,2024-07-17,Withdrawal,5058.41,ACC0000000285,SAN DIEGO,EMP0029,elizabeth BROWN,customer19@outlook.com,3316884378,INACTIVE,High,Loan,,usa,CA,86770.91,568.0,2025-05-30
TXN00000979,CUST00120,2025/01/11,,6468.4,ACC0000000136,San Antonio,EMP0024,  LINDA   GARCIA,customer20@yahoo.com,8682652438,inactive,High,Checking,mobile,,,86762.92,465.0,2024-04-05
TXN00000234,CUST00259,2025-11-25,TRANSFER,7881.62,ACC0000000067,houston,EMP0055,MARIA GARCIA,customer21@gmail.com,7753621573,Suspended,Low,MORTGAGE,  Branch  ,MEXICO,  CA  ,20262.21,314.0,2025-03-03
TXN00000134,CUST00309,2025-08-07,DEPOSIT,3981.1,ACC0000000083,SAN DIEGO,EMP0078,  John   MARTINEZ,customer22@outlook.com,2862279292,inactive,Medium,SAVINGS,  ONLINE  ,mexico,,96087.0,618.0,2024-12-09
TXN00000821,CUST00014,2025-03-27,TRANSFER,14627.01,ACC0000000300,,EMP0001,  PATRICIA   MARTINEZ,customer23@bank.com,5054729919,active,High,MORTGAGE,BRANCH,canada,NY,92453.35,622.0,2024-02-18
TXN00001008,CUST00288,2025-04-17,deposit,9431.62,ACC0000000131,SAN DIEGO,EMP0074,William BROWN,customer24@gmail.com,3755331001,active,MEDIUM,investment,atm,canada,  CA  ,93519.1,733.0,2025-02-20
TXN00000152,CUST00102,2026-13-45,transfer,7467.41,ACC0000000003,CHICAGO,EMP0064,Robert BROWN,customer25@yahoo.com,4544071756,Active,low,Loan,mobile,CANADA,NY,34678.42,672.0,
TXN00000591,CUST00367,2026-02-26,Payment,7686.19,ACC0000000170,dallas,EMP0094,  John     johnson  ,customer26@bank.com,7319015807,Inactive,  HIGH  ,credit card,  ONLINE  ,USA,CA,17277.73,801.0,2024-09-16
TXN00000645,CUST00333,2024-10-15,Payment,878.81,ACC0000000239,Phoenix,EMP0031,William Davis,customer27@outlook.com,8746468289,Suspended,,SAVINGS,Online,CANADA,,8881.09,753.0,2025-02-09
TXN00000703,CUST00360,2026-03-07,withdrawal,12897.43,ACC0000000080,  PHILADELPHIA  ,EMP0092,MARIA rodriguez,customer28@bank.com,3436909035,,Medium,,BRANCH,usa,FL,68372.42,648.0,2024-07-20
TXN00000055,CUST00280,2025-01-26,PAYMENT,2544.88,ACC0000000021,San Antonio,EMP0065,michael BROWN,customer29@hotmail.com,9114209563,INACTIVE,,credit card,BRANCH,mexico,,33460.19,850.0,2024-01-03
TXN00000156,CUST00215,01-08-2026,withdrawal,2401.78,  ACC0000000079  ,  PHILADELPHIA  ,,  LINDA   GARCIA,customer30@outlook.com,5607209818,  Active  ,  HIGH  ,SAVINGS,ATM,mexico,ca,53770.99,329.0,2025-11-29
TXN00000153,CUST00113,2025-05-29,PAYMENT,11611.27,ACC0000000166,Los Angeles,EMP0035,elizabeth MARTINEZ,customer31@bank.com,7223142622,  Active  ,Low,credit card,  Branch  ,United States,NY,34450.91,761.0,2026-04-24
TXN00000831,CUST00230,2025-06-24,transfer,13419.31,ACC0000000027,Los Angeles,EMP0053,William SMITH,customer32@outlook.com,8789391732,inactive,Medium,investment,ATM,MEXICO,,98948.73,615.0,2024-02-28
TXN00000577,CUST00302,2025-03-04,deposit,10128.1,ACC0000000155,SAN DIEGO,EMP0070,JENNIFER   MILLER  ,customer33@yahoo.com,4421374081,ACTIVE,Medium,  Checking  ,ATM,canada,,48846.98,626.0,2024-12-18
TXN00000972,CUST00143,2024-06-14,Withdrawal,1774.24,ACC0000000252,Los Angeles,EMP0074,james   MILLER  ,customer34@hotmail.com,3454064526,inactive,Medium,credit card,BRANCH,  USA  ,ca,91481.43,526.0,2026-01-02
TXN00000312,CUST00004,2026-04-16,,11124.66,ACC0000000294,  NEW YORK  ,EMP0047,JENNIFER   MILLER  ,customer35@hotmail.com,3377164539,INACTIVE,Medium,  Checking  ,atm,USA,  NY  ,,496.0,2026-03-23
TXN00000088,CUST00389,2024-07-23,PAYMENT,88.4,ACC0000000282,CHICAGO,EMP0005,JENNIFER SMITH,customer36@bank.com,8054675544,active,  HIGH  ,investment,ATM,usa,,34991.72,818.0,2025-09-01
TXN00000255,CUST00082,2026-03-31,,12887.4,ACC0000000184,CHICAGO,EMP0005,Robert GARCIA,customer37@outlook.com,3318467914,ACTIVE,high,credit card,ATM,  USA  ,,17600.25,329.0,2024-08-24
TXN00000122,CUST00358,2025-09-11,Payment,233.71,ACC0000000038,  NEW YORK  ,EMP0073,JENNIFER   jones  ,customer38@outlook.com,2766635177,INACTIVE,  HIGH  ,SAVINGS,BRANCH,canada,ca,57968.92,735.0,2026-04-28
TXN00000572,CUST00217,2024-05-21,Payment,737.42,ACC0000000163,houston,EMP0062,  LINDA   rodriguez,customer39@outlook.com,4664903675,INACTIVE,  HIGH  ,SAVINGS,BRANCH,MEXICO,ny,40961.49,433.0,2025-03-26
TXN00000783,CUST00175,2026/06/12,transfer,-1883.4848320230797,ACC0000000270,Los Angeles,EMP0091,MARIA BROWN,USER40@YAHOO.COM,6095672364,SUSPENDED,High,credit card,mobile,USA,ny,59323.3,,2025-04-12
TXN00000427,CUST00143,2024-09-13,DEPOSIT,13807.39,ACC0000000113,,EMP0048,  LINDA     MILLER  ,customer41@hotmail.com,4607927968,SUSPENDED,high,SAVINGS,mobile,USA,  NY  ,86965.1,548.0,2025-04-15
TXN00000621,CUST00080,2024-02-23,,2725.47,ACC0000000095,houston,EMP0015,  LINDA     jones  ,customer42@bank.com,9112469780,Inactive,,SAVINGS,  Branch  ,canada,,23004.77,678.0,2024-12-30
